City,Country,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Date
Belyy Yar,RU,53.6039,91.3903,32.0,86,3.65,0,1618270632
Necochea,AR,-38.5473,-58.7368,64.0,75,5.99,0,1618270427
Bethel,US,41.3712,-73.414,46.99,92,1.99,100,1618270537
Beloha,MG,-25.1667,45.05,72.25,75,10.67,77,1618270633
Erechim,BR,-27.6342,-52.2739,58.32,67,5.86,0,1618270633
Ushuaia,AR,-54.8,-68.3,48.2,40,18.41,40,1618270497
Kumul,CN,42.8,93.45,46.56,28,7.23,0,1618270634
Bealanana,MG,-14.55,48.7333,63.41,94,4.29,98,1618270634
Bereda,ES,43.2686,-7.5406,44.01,99,1.99,99,1618270635
Poum,NC,-20.2333,164.0167,78.85,78,3.87,33,1618270448
Ibrā’,OM,22.6906,58.5334,73.42,55,1.79,0,1618270635
Severo-Kuril'sk,RU,50.6789,156.125,35.44,94,5.79,97,1618270487
Okaihau,NZ,-35.3167,173.7833,75.0,69,7.0,51,1618270636
Parabel',RU,58.6978,81.4825,31.24,88,12.26,38,1618270615
Yulara,AU,-25.2406,130.9889,66.2,37,3.44,88,1618270636
Port Blair,IN,11.6667,92.75,81.91,76,2.86,25,1618270637
Upernavik,GL,72.7868,-56.1549,29.89,98,2.57,100,1618270637
Qui Nhon,VN,13.7667,109.2333,77.52,83,4.92,91,1618270637
Port Hawkesbury,CA,45.6169,-61.3485,39.0,100,10.36,90,1618270638
Esperance,AU,-33.8667,121.9,51.8,100,18.41,75,1618270616
Vila Velha,BR,-20.3297,-40.2925,78.8,78,4.61,0,1618270638
Ola,RU,59.5833,151.2833,10.99,61,6.35,58,1618270638
Mehamn,NO,71.0357,27.8492,30.51,70,13.2,91,1618270514
Huarmey,PE,-10.0681,-78.1522,70.21,81,6.89,69,1618270639
Mount Gambier,AU,-37.8333,140.7667,59.0,47,18.41,90,1618270639
Tikrit,IQ,34.6071,43.6782,60.94,26,9.06,3,1618270639
Ziarat,PK,30.3823,67.7282,53.04,22,2.68,64,1618270640
Mazagão,BR,-0.115,-51.2894,82.4,89,5.75,40,1618270640
Verkhoshizhem'ye,RU,58.011,49.1038,37.76,98,5.99,100,1618270640
Bredasdorp,ZA,-34.5322,20.0403,64.4,82,5.75,50,1618270452
Nabire,ID,-3.3667,135.4833,82.63,70,5.37,100,1618270641
Muroto-misakicho,JP,33.2833,134.15,60.8,88,24.16,75,1618270641
Punta Arenas,CL,-53.15,-70.9167,46.4,81,27.63,90,1618270549
Saint-Philippe,RE,-21.3585,55.7679,77.0,73,4.61,20,1618270499
Kavieng,PG,-2.5744,150.7967,79.07,72,11.86,100,1618270642
Sakai,JP,34.5833,135.4667,60.8,67,5.75,75,1618270642
Vrangel',RU,42.7297,133.0839,42.78,97,7.38,100,1618270643
Goma,CD,-1.6792,29.2228,61.52,90,3.11,92,1618270643
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,74.34,96,2.53,64,1618270643
Pevek,RU,69.7008,170.3133,-10.79,94,5.03,99,1618270644
Praia da Vitória,PT,38.7333,-27.0667,62.6,94,23.71,40,1618270644
Zavetnoye,RU,47.1194,43.8903,53.67,53,10.96,100,1618270644
Katsuura,JP,35.1333,140.3,59.0,82,3.44,75,1618270541
Stromness,GB,58.965,-3.296,37.4,70,5.75,35,1618270645
Cherskiy,RU,68.75,161.3,-6.11,79,3.33,52,1618270645
Burnie,AU,-41.0667,145.9167,54.0,81,1.99,100,1618270646
Caucayá,CO,-0.1934,-74.7819,72.12,97,2.33,96,1618270646
Washington,US,47.5001,-120.5015,57.0,21,5.99,68,1618270646
Dargaville,NZ,-35.9333,173.8833,70.66,62,9.69,56,1618270647
Sur,OM,22.5667,59.5289,81.07,54,5.95,0,1618270647
Cape Coast,GH,5.1053,-1.2466,81.77,85,12.62,58,1618270647
Taoudenni,ML,22.6783,-3.9836,89.35,11,7.54,51,1618270648
Slave Lake,CA,55.2834,-114.769,39.2,24,5.75,1,1618270648
San Quintín,MX,30.4833,-115.95,61.52,67,12.46,12,1618270648
Gemeente Wageningen,NL,51.9667,5.6667,37.0,93,2.3,6,1618270649
Turan,VN,16.0678,108.2208,78.8,83,1.14,75,1618270649
Dingle,PH,10.9995,122.6711,81.84,74,6.22,93,1618270543
Cidreira,BR,-30.1811,-50.2056,68.0,77,7.38,19,1618270551
Birin,NP,26.8865,88.0718,59.67,17,6.2,0,1618270650
Chiredzi,ZW,-21.05,31.6667,63.41,71,5.17,0,1618270650
Nuquí,CO,5.7125,-77.2708,79.54,86,4.45,88,1618270650
Airai,TL,-8.9266,125.4092,67.8,63,1.72,93,1618270651
Saint-Pierre,RE,-21.3393,55.4781,77.0,73,4.61,20,1618270470
Jumla,NP,29.2747,82.1838,42.98,41,5.41,1,1618270651
Beringovskiy,RU,63.05,179.3167,12.76,88,22.57,100,1618270652
Port Alfred,ZA,-33.5906,26.891,70.23,92,2.44,92,1618270652
Ratnagiri,IN,16.9833,73.3,79.56,75,5.66,17,1618270652
New Norfolk,AU,-42.7826,147.0587,53.01,81,6.91,75,1618270381
Aksu,CN,41.1231,80.2644,53.89,47,10.87,100,1618270653
Kamenka,RU,51.3223,42.7678,45.0,68,11.34,73,1618270653
Vaitape,PF,-16.5167,-151.75,81.93,74,11.83,100,1618270654
Kavaratti,IN,10.5669,72.642,82.49,75,7.85,46,1618270654
Pontes e Lacerda,BR,-15.2261,-59.3353,70.39,95,1.32,77,1618270654
Dryden,CA,49.7833,-92.7503,35.6,93,14.97,90,1618270655
Hambantota,LK,6.1241,81.1185,77.88,82,2.06,41,1618270536
Loralai,PK,30.3705,68.598,64.58,24,0.25,86,1618270655
Muros,ES,42.7762,-9.0603,55.0,76,6.8,95,1618270656
Shingū,JP,33.7333,135.9833,59.0,88,8.05,75,1618270656
Pitsunda,GE,43.1592,40.3378,46.4,87,2.24,90,1618270656
Sayyan,YE,15.1718,44.3244,58.08,60,2.75,28,1618270657
Staryy Nadym,RU,65.6118,72.6842,28.11,82,23.89,61,1618270657
Thunder Bay,CA,48.4001,-89.3168,42.8,100,11.5,90,1618270657
Nelson Bay,AU,-32.7167,152.15,62.01,67,10.36,41,1618270658
Mana,GF,5.6592,-53.7767,77.88,88,8.99,31,1618270658
Sakaraha,MG,-22.9,44.5333,68.11,75,3.11,88,1618270445
Tuktoyaktuk,CA,69.4541,-133.0374,8.6,66,12.66,75,1618270659
Belle Fourche,US,44.6714,-103.8522,35.01,59,20.71,90,1618270659
Morondava,MG,-20.2833,44.2833,78.21,58,6.53,96,1618270659
Rocha,UY,-34.4833,-54.3333,57.78,87,2.17,0,1618270660
Tiksi,RU,71.6872,128.8694,9.99,86,6.76,82,1618270389
Fallon,US,39.4735,-118.7774,62.6,10,5.75,20,1618270660
Thinadhoo,MV,0.5333,72.9333,82.8,66,8.52,49,1618270660
Flin Flon,CA,54.7682,-101.865,33.8,40,14.97,90,1618270419
Olathe,US,38.8814,-94.8191,59.0,33,13.8,1,1618270368
Bantogon,PH,6.5333,124.0333,81.03,74,1.3,91,1618270661
Clarence Town,AU,-32.5833,151.7833,66.99,67,10.36,44,1618270661
Karaton,ID,-6.3424,106.1045,78.01,94,2.3,20,1618270662
Dzhebariki-Khaya,RU,62.2167,135.8,15.33,84,0.4,78,1618270662
Westport,US,41.1415,-73.3579,48.2,87,10.96,90,1618270662
Alice Springs,AU,-23.7,133.8833,68.0,24,9.22,99,1618270663
Port Lincoln,AU,-34.7333,135.8667,72.41,27,29.24,88,1618270663
Lugovoy,KZ,42.9472,72.7644,49.39,63,6.11,90,1618270663
Buluang,PH,13.3068,123.3425,82.85,70,2.26,72,1618270664
Moramanga,MG,-18.9333,48.2,64.74,91,4.14,100,1618270664
Novyy Urgal,RU,51.0736,132.5642,24.57,88,3.22,100,1618270665
Cerrito,CO,6.8432,-72.694,69.8,100,5.75,75,1618270665
Husavik,IS,66.0449,-17.3389,33.8,86,10.36,0,1618270665
Tezu,IN,27.9167,96.1667,72.48,41,4.68,58,1618270666
Saint Anthony,US,45.0205,-93.218,45.0,76,13.8,90,1618270666
Sosnovo-Ozerskoye,RU,52.5249,111.5418,22.35,55,7.65,0,1618270666
Boden,SE,65.8252,21.6886,32.0,100,6.91,90,1618270667
Wiarton,CA,44.7407,-81.1332,50.0,87,6.91,75,1618270667
Ayagoz,KZ,47.9714,80.4392,39.69,44,10.09,0,1618270667
Sterling,US,39.0062,-77.4286,57.99,82,4.61,90,1618270657
Pitimbu,BR,-7.4706,-34.8086,77.0,100,4.61,75,1618270669
Camopi,GF,3.1655,-52.3158,73.08,98,2.82,50,1618270669
Río Gallegos,AR,-51.6226,-69.2181,55.4,30,6.91,0,1618270507
Darhan,MN,49.4867,105.9228,32.5,44,4.92,8,1618270670
Saratov,RU,51.5667,46.0333,44.87,70,4.94,25,1618270670
Medford,US,42.3265,-122.8756,73.0,15,4.61,1,1618270423
Colac,AU,-38.3333,143.5833,55.99,39,4.0,100,1618270671
Mount Isa,AU,-20.7333,139.5,73.4,20,9.22,23,1618270671
Litovko,RU,49.2361,135.1742,26.33,93,10.54,100,1618270672
Stornoway,GB,58.2093,-6.3865,32.0,86,1.14,21,1618270615
Mpanda,TZ,-6.3655,31.0409,62.91,96,0.31,75,1618270673
Anito,PH,12.4497,125.2886,82.06,74,5.82,92,1618270673
Coahuayana Viejo,MX,18.7333,-103.6833,71.6,88,5.75,1,1618270505
Nieuw Amsterdam,SR,5.8833,-55.0833,80.6,83,6.91,40,1618270673
Ilulissat,GL,69.2167,-51.1,32.0,93,5.75,90,1618270674
Altay,CN,47.8667,88.1167,38.55,33,7.14,5,1618270619
Chapais,CA,49.7834,-74.8492,55.4,47,9.22,1,1618270674
Japura,ID,-0.3167,102.35,74.37,94,0.76,50,1618270675
Menongue,AO,-14.6585,17.691,59.34,68,4.85,20,1618270675
Chilliwack,CA,49.1747,-121.9443,60.01,20,9.22,46,1618270675
Korla,CN,41.7597,86.1469,49.78,36,11.45,35,1618270499
Portland,US,45.5234,-122.6762,64.99,16,20.71,1,1618270195
Inhambane,MZ,-23.865,35.3833,73.71,79,7.76,7,1618270676
Oxbow,CA,49.2333,-102.1676,25.0,90,18.99,100,1618270676
Sungai Penuh,ID,-2.0833,101.3833,64.63,94,1.92,96,1618270677
Saint-Augustin,CA,51.226,-58.6502,39.72,79,20.27,8,1618270503
Kiryat Gat,IL,31.61,34.7642,53.01,100,1.99,0,1618270677
Kloulklubed,PW,7.0419,134.2556,78.8,83,3.44,90,1618270601
Dhidhdhoo,MV,6.8833,73.1,82.58,71,0.67,39,1618270562
Nyagan,RU,62.1406,65.3936,33.71,83,10.2,54,1618270678
Orissaare,EE,58.5592,23.0826,39.99,80,5.01,100,1618270678
Ayna,PE,-12.65,-73.9167,60.22,91,0.72,92,1618270678
Sabha,LY,27.0377,14.4283,76.41,10,14.63,9,1618270679
Meulaboh,ID,4.1363,96.1285,76.77,87,4.34,69,1618270679
Ostrovnoy,RU,68.0531,39.5131,31.53,92,1.34,100,1618270573
Nālūt,LY,30.3333,10.85,64.13,49,12.5,77,1618270680
Lima,PE,-12.0432,-77.0282,70.0,77,12.66,0,1618270680
Ciudad Bolivar,VE,8.1222,-63.5497,85.19,62,8.75,98,1618270680
George Town,MY,5.4112,100.3354,80.01,94,2.3,20,1618270681
Talnakh,RU,69.4865,88.3972,22.75,96,9.31,100,1618270681
Reconquista,AR,-29.15,-59.65,63.81,67,4.92,10,1618270681
Harper,LR,4.375,-7.7169,80.96,83,8.84,47,1618270682
Kokopo,PG,-4.352,152.2633,72.77,89,4.63,100,1618270682
Aklavik,CA,68.2191,-135.0107,24.8,50,4.61,100,1618270562
Salym,RU,60.0625,71.4789,31.86,92,8.05,17,1618270683
Dinagat,PH,9.9561,125.5933,80.98,78,7.96,67,1618270683
Athy,IE,52.9914,-6.9803,41.0,93,2.17,91,1618270684
Cap Malheureux,MU,-19.9842,57.6142,73.99,91,3.0,99,1618270684
Karabulak,RU,43.3036,44.8964,46.4,93,2.24,100,1618270684
Buta,CD,2.7858,24.73,69.39,95,1.07,90,1618270685
Porto Santo,PT,33.072,-16.3415,66.2,94,9.22,20,1618270685
Bathsheba,BB,13.2167,-59.5167,78.8,73,13.8,75,1618270685
Berlevåg,NO,70.8578,29.0864,30.31,74,14.16,78,1618270686
Mabaruma,GY,8.2,-59.7833,75.6,92,3.91,21,1618270686
Norman Wells,CA,65.282,-126.8329,26.6,46,6.91,75,1618270686
Geraldton,AU,-28.7667,114.6,62.6,82,10.36,75,1618270455
Eldorado,BR,-23.7869,-54.2836,72.46,66,5.68,7,1618270687
Tautira,PF,-17.7333,-149.15,87.8,66,13.8,20,1618270687
Verkhnyaya Inta,RU,65.9811,60.3094,35.92,71,20.6,100,1618270688
Doha,QA,25.2867,51.5333,80.6,61,6.91,0,1618270507
Bonnyville,CA,54.2668,-110.735,42.8,31,5.75,20,1618270688
Padang,ID,-0.9492,100.3543,77.18,81,3.06,95,1618270688
Te Anau,NZ,-45.4167,167.7167,49.6,93,2.13,100,1618270689
Yushala,RU,57.0761,64.2601,33.8,60,2.24,0,1618270689
Bonthe,SL,7.5264,-12.505,79.72,81,1.9,95,1618270689
Oruzgan,AF,32.8333,66.0,54.3,66,6.55,88,1618270690
Tuy Hoa,VN,13.0833,109.3,77.72,85,2.73,55,1618270690
Mossamedes,AO,-15.1961,12.1522,79.61,73,3.87,0,1618270576
Yining,CN,29.0361,114.5636,63.05,87,2.39,63,1618270691
Peace River,CA,56.2501,-117.286,41.0,42,8.05,20,1618270473
River Falls,US,44.8614,-92.6238,43.0,87,12.66,90,1618270691
Lebanon,US,36.2081,-86.2911,75.2,35,8.05,1,1618270692
Viedma,AR,-40.8135,-62.9967,67.6,45,5.73,4,1618270565
Chiny,BE,49.7333,5.3333,33.01,92,1.01,90,1618270692
Riyadh,SA,24.6877,46.7219,82.4,23,10.36,40,1618270626
Thanh Hoa,VN,19.8,105.7667,76.6,88,4.23,77,1618270693
Skjervøy,NO,70.0311,20.9714,31.75,66,12.91,95,1618270693
Saskylakh,RU,71.9167,114.0833,19.36,93,11.36,97,1618270694
Kaka,TM,37.3482,59.6143,58.57,39,4.54,42,1618270694
Bonavista,CA,48.6499,-53.1147,37.0,100,12.66,100,1618270694
Salmo,CA,49.1999,-117.2689,51.8,30,9.22,100,1618270695
Ancud,CL,-41.8697,-73.8203,62.01,100,12.66,90,1618270695
Mersing,MY,2.4312,103.8405,75.2,100,5.75,35,1618270695
Pemangkat,ID,1.1667,108.9667,78.35,82,4.52,95,1618270696
Honiara,SB,-9.4333,159.95,86.54,65,5.46,69,1618270696
Zhangjiakou,CN,40.81,114.8794,34.66,17,9.8,0,1618270696
Kivertsi,UA,50.8343,25.4582,48.99,48,4.0,80,1618270697
Taltal,CL,-25.4,-70.4833,66.92,74,3.76,60,1618270697
Khilok,RU,51.3674,110.4676,27.19,56,5.32,26,1618270697
Morant Bay,JM,17.8815,-76.4093,80.6,78,11.5,20,1618270521
Guangyuan,CN,32.442,105.823,64.99,79,1.12,100,1618270698
Ayan,RU,56.45,138.1667,17.73,82,6.78,93,1618270508
Pontian Kecil,MY,1.4801,103.3899,78.01,100,1.14,20,1618270698
Boa Vista,BR,2.8197,-60.6733,87.8,58,3.44,20,1618270699
Kaeo,NZ,-35.1,173.7833,75.0,66,7.0,23,1618270699
Pasni,PK,25.2631,63.471,77.27,73,7.54,0,1618270699
Divnogorsk,RU,55.9594,92.3619,33.8,100,13.42,75,1618270700
Yumen,CN,40.2833,97.2,34.45,79,4.59,61,1618270700
Sitka,US,57.0531,-135.33,41.0,75,11.5,90,1618270701
De Aar,ZA,-30.6497,24.0123,70.18,30,1.66,46,1618270701
Chandla,IN,25.0833,80.2,81.81,10,4.47,0,1618270701
Lata,PT,40.1629,-8.3327,59.0,67,1.9,100,1618270702
Vardø,NO,70.3705,31.1107,31.33,70,15.1,15,1618270702
Trat,TH,12.5,102.5,80.01,99,2.13,31,1618270702
Santa Cruz de la Sierra,BO,-17.8,-63.1667,75.2,50,4.61,75,1618270497
Fillan,NO,63.6064,8.9696,33.8,80,14.97,40,1618270703
Cotonou,BJ,6.3654,2.4183,84.2,79,9.22,20,1618270506
Horadiz,AZ,39.4488,47.3353,51.8,100,9.22,90,1618270703
Marzuq,YE,14.4,46.4667,66.99,43,6.29,1,1618270531
Okhotsk,RU,59.3833,143.3,16.18,79,2.44,100,1618270527
Saldanha,ZA,-33.0117,17.9442,59.0,82,6.91,49,1618270704
Nome,US,64.5011,-165.4064,34.0,86,17.27,90,1618270406
Lyantonde,UG,-0.4031,31.1572,61.57,91,4.03,78,1618270705
Asău,RO,46.4333,26.4,46.0,44,3.51,7,1618270705
Cervo,ES,43.6702,-7.4101,51.01,81,15.48,99,1618270706
Cabra,ES,37.4725,-4.4421,59.0,72,5.75,0,1618270706
Deputatsky,RU,69.3,139.9,4.46,76,2.46,25,1618270706
Porto-Novo,BJ,6.4965,2.6036,84.2,79,9.22,20,1618270707
Faanui,PF,-16.4833,-151.75,81.9,74,11.79,100,1618270495
Bryan,US,30.6744,-96.37,82.99,61,4.61,40,1618270707
Tilichiki,RU,60.4667,166.1,6.67,74,8.19,92,1618270707
Gunjur,GM,13.2019,-16.7339,71.6,83,4.61,0,1618270708
Tiznit Province,MA,29.5833,-9.5,64.2,53,1.34,36,1618270708
Luganville,VU,-15.5333,167.1667,85.26,69,6.35,98,1618270510
Lompoc,US,34.6391,-120.4579,57.2,67,13.8,37,1618270705
Lagoa,PT,39.05,-27.9833,61.25,85,18.59,71,1618270709
Mahébourg,MU,-20.4081,57.7,75.2,94,8.75,75,1618270709
Río Tercero,AR,-32.173,-64.1141,55.99,71,1.01,0,1618270709
Otradnoye,RU,59.7775,30.8181,51.01,43,8.95,0,1618270710
Rio Grande,BR,-32.035,-52.0986,65.26,73,7.74,48,1618270614
Broome,US,42.2506,-75.833,45.0,93,4.61,90,1618270710
Paita,PE,-5.0892,-81.1144,77.0,78,12.66,40,1618270476
Jacmel,HT,18.2342,-72.5347,82.4,74,5.75,40,1618270711
Faya,SA,18.3851,42.4509,62.6,77,4.61,0,1618270711
São Filipe,CV,14.8961,-24.4956,75.72,66,8.63,43,1618270505
Bara,NG,10.3744,10.7288,78.19,37,3.65,35,1618270712
Fairbanks,US,64.8378,-147.7164,46.4,36,5.75,40,1618270605
Kruisfontein,ZA,-34.0033,24.7314,66.0,96,1.01,87,1618270436
Bom Jardim,BR,-7.7958,-35.5872,75.2,88,8.05,40,1618270712
Kulhudhuffushi,MV,6.6221,73.07,82.45,71,1.23,38,1618270713
Bakal,RU,54.9417,58.8083,37.06,94,3.4,93,1618270713
Mae Sai,TH,20.4335,99.8762,71.6,94,3.44,20,1618270448
Sept-Îles,CA,50.2001,-66.3821,44.6,65,9.57,20,1618270713
Ubari,LY,26.5921,12.7805,74.28,14,5.01,0,1618270714
Tagusao,PH,9.1924,117.8141,81.55,76,2.33,100,1618270714
Nikel,RU,69.4128,30.222,23.0,80,6.91,100,1618270714
Iqaluit,CA,63.7506,-68.5145,33.8,93,6.91,90,1618270715
Paphos,CY,34.7667,32.4167,46.4,76,9.22,0,1618270715
Glendive,US,47.1053,-104.7125,35.01,64,26.46,90,1618270715
Walvis Bay,NA,-22.9575,14.5053,86.0,26,12.66,0,1618270716
Vestmannaeyjar,IS,63.4427,-20.2734,41.22,75,12.91,42,1618270716
Saint-Leu,RE,-21.15,55.2833,77.0,73,4.61,20,1618270716
Laas,IT,46.6166,10.7002,37.99,74,9.22,75,1618270497
